original_smiles,radical_smiles,I,A,philicity,predicted_philicity
C1CC1C2=CC(=NC=C2)Cl,C1CC1C1=C[C]=NC(=C1)Cl,8.814616948356663,0.538860770728287,1.3214433757413198,1.3129429215325619
CCCCN1C=NN=N1,[CH2]CCCn1cnnn1,8.761181013696698,-0.2277473459072879,1.012627524235964,1.0195165478185044
CCCCN1C=NN=N1,C[CH]CCn1cnnn1,8.190527534712132,-0.1882101543244056,0.9553510002504184,0.956911735899129
CC1=C(C=CC(=C1)O)N,[CH2]c1c(ccc(c1)O)N,6.96634543850653,0.6892989797094246,1.1671271640825276,1.1697997836767648
CCCCN1C=NN=N1,CC[CH]Cn1cnnn1,8.696072477546037,0.4911532331637852,1.2858919409432057,1.2984217692517694
C1CC1C2=CC(=NC=C2)Cl,C1CC1C1=[C]C=NC(=C1)Cl,9.648197015882094,1.4064794221032473,1.853464853624592,1.8589607733171285
CC1(COC1)C#N,[CH2]C1(COC1)C#N,9.385796195317916,0.7780838171164057,1.5001729316719203,1.4692345235434123
CC1(COC1)C#N,C[C@@]1([CH]OC1)C#N,8.245433847874516,-0.3150114856811244,0.9183458977924246,0.9260387335685717
CC1(COC1)C#N,C[C@@]1(CO[CH]1)C#N,8.217227324337014,-0.3353781182066455,0.9079623064211756,0.9193521965090433
CCCCN1C=NN=N1,CCC[CH]n1cnnn1,8.442809183712566,0.98615492023401,1.490369556708507,1.4624860913035647
CC1=C(C=CC(=C1)O)N,CC1=CC(=C[C]=C1N)O,8.913275762150546,0.8994145598549429,1.5019116397972716,1.4774212926304382
CCCCN1C=NN=N1,CCCCN1[C]=NN=N1,11.806264272794662,2.525423841943211,2.766415468357468,2.7747965637820404
CC1=CC(=CC(=C1N)Cl)Cl,CC1=[C]C(=CC(=C1N)Cl)Cl,11.177349831201107,1.4170821466397887,2.031446805185531,1.9039018490404103
CC1=C(C=CC(=C1)O)N,CC1=CC(=[C]C=C1N)O,8.968445035207429,1.1436653527009288,1.63350887574909,1.5455430175406284
CCC1=NC=C(C(=C1)C)N,[CH2]Cc1ncc(c(c1)C)N,8.061456648783428,-0.4915067810877448,0.8374895653021783,0.823533995961347
CCC1=NC=C(C(=C1)C)N,C[CH]c1ncc(c(c1)C)N,6.722858612627066,0.1957446648014857,0.9166967149085732,0.9115914322400115
C1=CC=C(C(=C1)CCN)Br,c1ccc(c(c1)[CH]CN)Br,7.375354059222245,0.9500647451000584,1.3484334105201456,1.3410852580226644
C1CC(C1)C2=CC(=NN2)N,[CH]1CC(C1)c1cc(n[nH]1)N,8.011619052841665,-0.3109766494948474,0.8906460127513914,0.8786075437583526
CN1C=CC(=N1)C(=O)CBr,[CH2]n1ccc(n1)C(=O)CBr,7.968573813802521,1.017033367165397,1.4518569126955438,1.451295736799357
CCC1=NC=C(C(=C1)C)N,CCC1=N[C]=C(C(=C1)C)N,8.108322946814939,0.2651239841405462,1.1174428609933538,1.1171354153378545
C1CC1C2=NC=C(O2)CCl,C1[CH][C@H]1c1ncc(o1)CCl,8.684904283327493,0.4970302033330222,1.2870850249657024,1.290424153977535
