smiles,atom_y,split,radical_type
[c]1n[nH]c(C2CCC2)n1,"[0.9824289032310055, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
N[C@@H]([CH]S)C(=O)O,"['nan', 'nan', 0.6380279596715909, 'nan', 'nan', 'nan', 'nan']",train,carbon
BrCc1[c]noc1,"['nan', 'nan', 'nan', 1.2295742979580517, 'nan', 'nan', 'nan']",train,carbon
BrCc1[c]onc1,"['nan', 'nan', 'nan', 1.3070785844189783, 'nan', 'nan', 'nan']",train,carbon
[CH2]c1c[nH]cc1CC,"[0.5416579252865585, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]Cc1c[nH]cc1C,"[0.58726495857872, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C[CH]c1c[nH]cc1C,"['nan', 0.4873279209941647, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CO[C](OC)c1ccco1,"['nan', 'nan', 0.6075743111202206, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]O[C@@H](OC)c1ccco1,"[0.47635417421340565, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Fc1[c]c(Cl)nnc1,"['nan', 'nan', 1.343885879969501, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1onc2ccccc12,"[1.0249328377005287, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]O[C@H](OC)c1ccco1,"[0.5358816176586828, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Fc1[c]nnc(Cl)c1,"['nan', 'nan', 1.128617455701759, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
N#C[C@@]1(CCO)[CH]C1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.9714472742008234, 'nan']",train,carbon
N#C[C@]1(CCO)[CH]C1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.9677058078158323, 'nan']",train,carbon
N#CC1([CH]CO)CC1,"['nan', 'nan', 'nan', 0.9058381156962287, 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1onc2cc[c]cc12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.9542159520762531, 'nan', 'nan']",train,carbon
N#CC1(C[CH]O)CC1,"['nan', 'nan', 'nan', 'nan', 0.5237972820732767, 'nan', 'nan', 'nan']",train,carbon
Cc1onc2c[c]ccc12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.9510598881674858, 'nan', 'nan', 'nan']",train,carbon
COC(OC)c1[c]cco1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.0534996546522084, 'nan', 'nan', 'nan']",train,carbon
Cc1onc2[c]cccc12,"['nan', 'nan', 'nan', 'nan', 'nan', 0.9966259550495782, 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1onc2ccc[c]c12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.025397264331551, 'nan']",train,carbon
COC(OC)c1c[c]co1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.046390354771802, 'nan', 'nan']",train,carbon
[CH2][C@@H](C)CCI,"[0.6583355687704141, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C[C](C)CCI,"['nan', 0.5628394832588461, 'nan', 'nan', 'nan', 'nan']",train,carbon
COC(OC)c1cc[c]o1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.0934468094768304, 'nan']",train,carbon
[CH2][C@H](C)CCI,"[0.6801963537185582, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1ccc(S)cc1F,"[0.8524339297727128, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]C(=C)CBr,"[0.816393515011561, 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]cc(S)cc1F,"['nan', 'nan', 0.9894456538560574, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH]=C(C)CBr,"[0.8740006604718971, 'nan', 'nan', 'nan', 'nan']",train,carbon
CC(C)C[CH]I,"['nan', 'nan', 'nan', 'nan', 0.7314179229419759, 'nan']",train,carbon
O=C(O)N[C@@H]([CH]O)CCl,"['nan', 'nan', 'nan', 'nan', 'nan', 0.5430461382135306, 'nan', 'nan', 'nan']",train,carbon
CCc1c[nH][c]c1C,"['nan', 'nan', 'nan', 'nan', 'nan', 0.9933308834053637, 'nan', 'nan']",train,carbon
C=C(C)[CH]Br,"['nan', 'nan', 'nan', 0.8334735158035382, 'nan']",train,carbon
O=C([CH]N(OO)OO)OO,"['nan', 'nan', 1.186831723045285, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=C(O)N[C](CO)CCl,"['nan', 'nan', 'nan', 'nan', 0.8210646207467697, 'nan', 'nan', 'nan', 'nan']",train,carbon
CCc1[c][nH]cc1C,"['nan', 'nan', 'nan', 0.9979697731329417, 'nan', 'nan', 'nan', 'nan']",train,carbon
NC[C@H]1[CH]C=CC1,"['nan', 'nan', 'nan', 0.6340923249166979, 'nan', 'nan', 'nan']",train,carbon
O=C(O)N[C@H]([CH]Cl)CO,"['nan', 'nan', 'nan', 'nan', 'nan', 0.8014839191000068, 'nan', 'nan', 'nan']",train,carbon
Cc1c[c]c(S)cc1F,"['nan', 'nan', 'nan', 0.9984650421084366, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
NC[C@@H]1[CH]C=CC1,"['nan', 'nan', 'nan', 0.6335770068863874, 'nan', 'nan', 'nan']",train,carbon
FC(F)(F)[C@H]1C[CH]CCN1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.6624934549744873, 'nan', 'nan', 'nan']",train,carbon
NC[C]1CC=CC1,"['nan', 'nan', 0.556043991117775, 'nan', 'nan', 'nan', 'nan']",train,carbon
N[CH]C1CC=CC1,"['nan', 0.2667435430016463, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=C(O)c1[c]sc(Br)c1,"['nan', 'nan', 'nan', 'nan', 1.3086254690063153, 'nan', 'nan', 'nan', 'nan']",train,carbon
FC(F)(F)[C@H]1CC[CH]CN1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.6845228094847348, 'nan', 'nan']",train,carbon
FC(F)(F)[C@H]1[CH]CCCN1,"['nan', 'nan', 'nan', 'nan', 'nan', 0.7288423716515379, 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1ccc(S)[c]c1F,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.1207299000962798, 'nan', 'nan']",train,carbon
FC(F)(F)[C@H]1CCC[CH]N1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.43521496838386475, 'nan']",train,carbon
FC(F)(F)[C]1CCCCN1,"['nan', 'nan', 'nan', 'nan', 0.5711535292830443, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]O[C@H]1C[C@H](C=O)C1,"[0.5041834140603665, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CO[C@@H]1[CH][C@@H](C=O)C1,"['nan', 'nan', 'nan', 0.7975346259798384, 'nan', 'nan', 'nan', 'nan']",train,carbon
CO[C]1CC(C=O)C1,"['nan', 'nan', 0.5263858324315936, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=[C]CCCN=C=O,"['nan', 0.8011660960032301, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=C[CH]CCN=C=O,"['nan', 'nan', 0.7995763182826777, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=CC[CH]CN=C=O,"['nan', 'nan', 'nan', 0.8071257883046936, 'nan', 'nan', 'nan', 'nan']",train,carbon
O=[C]Nc1ccc(O)cc1,"['nan', 0.8134546704252266, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH]=CCCCN=C=O,"[0.8225923200484028, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
COC1C[C](C=O)C1,"['nan', 'nan', 'nan', 'nan', 1.0006349457759796, 'nan', 'nan', 'nan']",train,carbon
CO[C@H]1[CH][C@H](C=O)C1,"['nan', 'nan', 'nan', 0.7810062006679958, 'nan', 'nan', 'nan', 'nan']",train,carbon
O=C(O)c1[c]c(Br)sc1,"['nan', 'nan', 'nan', 'nan', 1.1965644499448604, 'nan', 'nan', 'nan', 'nan']",train,carbon
C=CCC[CH]N=C=O,"['nan', 'nan', 'nan', 'nan', 0.6790017879992879, 'nan', 'nan', 'nan']",train,carbon
N#Cc1[nH]n[c]c1N,"['nan', 'nan', 'nan', 'nan', 'nan', 1.1462330203524396, 'nan', 'nan']",train,carbon
CO[C@H]1C[C@H]([C]=O)C1,"['nan', 'nan', 'nan', 'nan', 'nan', 0.6721532827186979, 'nan', 'nan']",train,carbon
O=CNc1c[c]c(O)cc1,"['nan', 'nan', 'nan', 'nan', 'nan', 1.039882711049613, 'nan', 'nan', 'nan', 'nan']",train,carbon
O=CNc1c[c]c(O)cc1,"['nan', 'nan', 'nan', 'nan', 'nan', 1.1103835192490377, 'nan', 'nan', 'nan', 'nan']",train,carbon
O=CNc1[c]cc(O)cc1,"['nan', 'nan', 'nan', 'nan', 1.0694929528490429, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
N[C](CC(N)=O)C(=O)Cl,"['nan', 0.8650871979829271, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
NC(=O)[CH][C@@H](N)C(=O)Cl,"['nan', 'nan', 'nan', 1.0945935029219473, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=c1[nH][c]nc2ccoc12,"['nan', 'nan', 'nan', 1.0717003369646412, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=C1C[CH]CN(C)C1=O,"['nan', 'nan', 'nan', 0.7401223533199814, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=C1[CH]CCN(C)C1=O,"['nan', 'nan', 0.7531245557359988, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=c1[nH]cnc2[c]coc12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.2025232462975841, 'nan', 'nan', 'nan']",train,carbon
[CH2]N1CCCC(=C)C1=O,"[0.6173995902607602, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=CNc1[c]cc(O)cc1,"['nan', 'nan', 'nan', 'nan', 1.067358633029072, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH]=C1CCCN(C)C1=O,"[0.8588424401658452, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC[CH]n1nnnc1N,"['nan', 'nan', 0.9226822758583106, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C[CH]Cn1nnnc1N,"['nan', 0.7806416623272143, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=C1CC[CH]N(C)C1=O,"['nan', 'nan', 'nan', 'nan', 0.5686011423219576, 'nan', 'nan', 'nan', 'nan']",train,carbon
O=C=NC[C@@H]1C[CH]CC1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.5676693210713744, 'nan', 'nan']",train,carbon
[CH2]CCn1nnnc1N,"[0.754846362608152, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=C=NC[C@H]1C[CH]CC1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.5739249144517826, 'nan', 'nan']",train,carbon
O=C=N[CH]C1CCCC1,"['nan', 'nan', 'nan', 0.6714210073213532, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=C=NC[C@@H]1[CH]CCC1,"['nan', 'nan', 'nan', 'nan', 'nan', 0.6274712800843093, 'nan', 'nan', 'nan']",train,carbon
O=C=NC[C]1CCCC1,"['nan', 'nan', 'nan', 'nan', 0.6738506317140276, 'nan', 'nan', 'nan', 'nan']",train,carbon
